NEON FRONTIER ASSET VALIDATION
Dynasty_AirDefense: 3,660 triangles, 1 renderers, prefab + data OK
Dynasty_Airfield: 4,488 triangles, 1 renderers, prefab + data OK
Dynasty_AntiAir: 5,536 triangles, 1 renderers, prefab + data OK
Dynasty_APC: 3,764 triangles, 1 renderers, prefab + data OK
Dynasty_Artillery: 5,684 triangles, 1 renderers, prefab + data OK
Dynasty_Barracks: 3,788 triangles, 1 renderers, prefab + data OK
Dynasty_Bomber: 2,036 triangles, 1 renderers, prefab + data OK
Dynasty_Command: 3,620 triangles, 1 renderers, prefab + data OK
Dynasty_Commando: 2,420 triangles, 1 renderers, prefab + data OK
Dynasty_Drone: 2,412 triangles, 1 renderers, prefab + data OK
Dynasty_Engineer: 2,500 triangles, 1 renderers, prefab + data OK
Dynasty_Factory: 3,656 triangles, 1 renderers, prefab + data OK
Dynasty_Fighter: 1,896 triangles, 1 renderers, prefab + data OK
Dynasty_Heavy: 5,828 triangles, 1 renderers, prefab + data OK
Dynasty_Helicopter: 2,444 triangles, 1 renderers, prefab + data OK
Dynasty_Power: 4,952 triangles, 1 renderers, prefab + data OK
Dynasty_Refinery: 4,996 triangles, 1 renderers, prefab + data OK
Dynasty_Rifle: 2,320 triangles, 1 renderers, prefab + data OK
Dynasty_Rocket: 2,356 triangles, 1 renderers, prefab + data OK
Dynasty_Scout: 2,196 triangles, 1 renderers, prefab + data OK
Dynasty_Superweapon: 5,834 triangles, 1 renderers, prefab + data OK
Dynasty_Support: 3,520 triangles, 1 renderers, prefab + data OK
Dynasty_Tank: 5,116 triangles, 1 renderers, prefab + data OK
Dynasty_Tech: 3,968 triangles, 1 renderers, prefab + data OK
Dynasty_Turret: 1,876 triangles, 1 renderers, prefab + data OK
Dynasty_Worker: 4,908 triangles, 1 renderers, prefab + data OK
Vanguard_AirDefense: 3,660 triangles, 1 renderers, prefab + data OK
Vanguard_Airfield: 4,488 triangles, 1 renderers, prefab + data OK
Vanguard_AntiAir: 5,536 triangles, 1 renderers, prefab + data OK
Vanguard_APC: 3,636 triangles, 1 renderers, prefab + data OK
Vanguard_Artillery: 4,948 triangles, 1 renderers, prefab + data OK
Vanguard_Barracks: 3,788 triangles, 1 renderers, prefab + data OK
Vanguard_Bomber: 2,036 triangles, 1 renderers, prefab + data OK
Vanguard_Command: 3,620 triangles, 1 renderers, prefab + data OK
Vanguard_Commando: 2,328 triangles, 1 renderers, prefab + data OK
Vanguard_Drone: 2,412 triangles, 1 renderers, prefab + data OK
Vanguard_Engineer: 2,412 triangles, 1 renderers, prefab + data OK
Vanguard_Factory: 3,656 triangles, 1 renderers, prefab + data OK
Vanguard_Fighter: 1,896 triangles, 1 renderers, prefab + data OK
Vanguard_Heavy: 5,644 triangles, 1 renderers, prefab + data OK
Vanguard_Helicopter: 2,316 triangles, 1 renderers, prefab + data OK
Vanguard_Power: 4,952 triangles, 1 renderers, prefab + data OK
Vanguard_Refinery: 4,996 triangles, 1 renderers, prefab + data OK
Vanguard_Rifle: 2,232 triangles, 1 renderers, prefab + data OK
Vanguard_Rocket: 2,268 triangles, 1 renderers, prefab + data OK
Vanguard_Scout: 2,068 triangles, 1 renderers, prefab + data OK
Vanguard_Superweapon: 5,834 triangles, 1 renderers, prefab + data OK
Vanguard_Support: 3,520 triangles, 1 renderers, prefab + data OK
Vanguard_Tank: 4,908 triangles, 1 renderers, prefab + data OK
Vanguard_Tech: 3,968 triangles, 1 renderers, prefab + data OK
Vanguard_Turret: 1,876 triangles, 1 renderers, prefab + data OK
Vanguard_Worker: 2,604 triangles, 1 renderers, prefab + data OK
PASS: 52/52 complete.
